AgeGroup,Date,Country,Female,Male,Total,Date2
80 to 89,11/06/2021,France,55,23,78,2021-06-11
90+,11/06/2021,France,24,11,35,2021-06-11
0 to 9,12/06/2021,France,86,75,162,2021-06-12
10 to 19,12/06/2021,France,219,198,422,2021-06-12
20 to 29,12/06/2021,France,195,181,377,2021-06-12
30 to 39,12/06/2021,France,210,181,391,2021-06-12
40 to 49,12/06/2021,France,201,162,363,2021-06-12
50  to 59,12/06/2021,France,126,103,229,2021-06-12
60 to 69,12/06/2021,France,67,54,121,2021-06-12
70 to 79,12/06/2021,France,34,35,70,2021-06-12
80 to 89,12/06/2021,France,25,16,41,2021-06-12
90+,12/06/2021,France,10,3,13,2021-06-12
0 to 9,13/06/2021,France,21,21,42,2021-06-13
10 to 19,13/06/2021,France,35,24,60,2021-06-13
20 to 29,13/06/2021,France,47,49,98,2021-06-13
30 to 39,13/06/2021,France,51,45,96,2021-06-13
40 to 49,13/06/2021,France,41,35,76,2021-06-13
50  to 59,13/06/2021,France,27,30,57,2021-06-13
60 to 69,13/06/2021,France,12,22,34,2021-06-13
70 to 79,13/06/2021,France,9,10,19,2021-06-13
80 to 89,13/06/2021,France,10,5,15,2021-06-13
90+,13/06/2021,France,5,3,8,2021-06-13
0 to 9,14/06/2021,France,145,160,313,2021-06-14
10 to 19,14/06/2021,France,339,340,687,2021-06-14
20 to 29,14/06/2021,France,377,298,680,2021-06-14
30 to 39,14/06/2021,France,338,314,655,2021-06-14
40 to 49,14/06/2021,France,349,309,661,2021-06-14
50  to 59,14/06/2021,France,257,221,480,2021-06-14
60 to 69,14/06/2021,France,149,131,280,2021-06-14
70 to 79,14/06/2021,France,60,60,120,2021-06-14
80 to 89,14/06/2021,France,37,29,66,2021-06-14
90+,14/06/2021,France,16,3,19,2021-06-14
0 to 9,15/06/2021,France,126,107,236,2021-06-15
10 to 19,15/06/2021,France,263,247,515,2021-06-15
20 to 29,15/06/2021,France,286,267,554,2021-06-15
30 to 39,15/06/2021,France,270,223,494,2021-06-15
40 to 49,15/06/2021,France,219,177,396,2021-06-15
50  to 59,15/06/2021,France,159,138,300,2021-06-15
60 to 69,15/06/2021,France,92,77,169,2021-06-15
70 to 79,15/06/2021,France,48,49,97,2021-06-15
80 to 89,15/06/2021,France,36,22,58,2021-06-15
90+,15/06/2021,France,20,10,30,2021-06-15
0 to 9,16/06/2021,France,76,97,177,2021-06-16
10 to 19,16/06/2021,France,235,216,454,2021-06-16
20 to 29,16/06/2021,France,257,217,476,2021-06-16
30 to 39,16/06/2021,France,249,196,446,2021-06-16
40 to 49,16/06/2021,France,205,181,388,2021-06-16
50  to 59,16/06/2021,France,139,119,258,2021-06-16
60 to 69,16/06/2021,France,92,74,166,2021-06-16
70 to 79,16/06/2021,France,34,46,81,2021-06-16
80 to 89,16/06/2021,France,29,16,45,2021-06-16
90+,16/06/2021,France,19,6,25,2021-06-16
0 to 9,17/06/2021,France,89,82,175,2021-06-17
10 to 19,17/06/2021,France,230,220,458,2021-06-17
20 to 29,17/06/2021,France,277,219,497,2021-06-17
30 to 39,17/06/2021,France,243,183,428,2021-06-17
40 to 49,17/06/2021,France,185,174,360,2021-06-17
50  to 59,17/06/2021,France,134,133,267,2021-06-17
60 to 69,17/06/2021,France,78,84,164,2021-06-17
70 to 79,17/06/2021,France,37,37,74,2021-06-17
80 to 89,17/06/2021,France,26,23,49,2021-06-17
90+,17/06/2021,France,17,5,22,2021-06-17
0 to 9,18/06/2021,France,96,110,211,2021-06-18
10 to 19,18/06/2021,France,235,225,464,2021-06-18
20 to 29,18/06/2021,France,273,242,518,2021-06-18
30 to 39,18/06/2021,France,212,214,426,2021-06-18
40 to 49,18/06/2021,France,180,161,342,2021-06-18
50  to 59,18/06/2021,France,128,138,268,2021-06-18
60 to 69,18/06/2021,France,108,92,200,2021-06-18
70 to 79,18/06/2021,France,47,38,85,2021-06-18
80 to 89,18/06/2021,France,32,14,46,2021-06-18
90+,18/06/2021,France,26,8,34,2021-06-18
0 to 9,19/06/2021,France,42,34,76,2021-06-19
10 to 19,19/06/2021,France,150,122,274,2021-06-19
20 to 29,19/06/2021,France,139,152,294,2021-06-19
30 to 39,19/06/2021,France,128,119,248,2021-06-19
40 to 49,19/06/2021,France,122,100,222,2021-06-19
50  to 59,19/06/2021,France,76,85,161,2021-06-19
60 to 69,19/06/2021,France,40,41,81,2021-06-19
70 to 79,19/06/2021,France,21,24,45,2021-06-19
80 to 89,19/06/2021,France,12,11,23,2021-06-19
90+,19/06/2021,France,10,7,17,2021-06-19
0 to 9,20/06/2021,France,7,8,15,2021-06-20
10 to 19,20/06/2021,France,27,21,48,2021-06-20
20 to 29,20/06/2021,France,36,36,72,2021-06-20
30 to 39,20/06/2021,France,45,33,79,2021-06-20
40 to 49,20/06/2021,France,24,31,55,2021-06-20
50  to 59,20/06/2021,France,20,26,46,2021-06-20
60 to 69,20/06/2021,France,12,16,28,2021-06-20
70 to 79,20/06/2021,France,7,6,13,2021-06-20
80 to 89,20/06/2021,France,11,7,18,2021-06-20
90+,20/06/2021,France,10,0,10,2021-06-20
0 to 9,21/06/2021,France,81,100,183,2021-06-21
10 to 19,21/06/2021,France,215,199,423,2021-06-21
20 to 29,21/06/2021,France,289,264,555,2021-06-21
30 to 39,21/06/2021,France,228,204,434,2021-06-21
40 to 49,21/06/2021,France,231,220,452,2021-06-21
50  to 59,21/06/2021,France,135,150,285,2021-06-21
60 to 69,21/06/2021,France,101,93,194,2021-06-21
70 to 79,21/06/2021,France,52,54,106,2021-06-21
80 to 89,21/06/2021,France,36,18,54,2021-06-21
90+,21/06/2021,France,17,9,26,2021-06-21
0 to 9,22/06/2021,France,85,75,163,2021-06-22
10 to 19,22/06/2021,France,148,187,338,2021-06-22
20 to 29,22/06/2021,France,188,201,391,2021-06-22
30 to 39,22/06/2021,France,197,163,361,2021-06-22
40 to 49,22/06/2021,France,168,143,311,2021-06-22
50  to 59,22/06/2021,France,127,111,238,2021-06-22
60 to 69,22/06/2021,France,74,63,138,2021-06-22
70 to 79,22/06/2021,France,39,40,80,2021-06-22
80 to 89,22/06/2021,France,23,16,40,2021-06-22
90+,22/06/2021,France,12,3,15,2021-06-22
0 to 9,23/06/2021,France,69,55,125,2021-06-23
10 to 19,23/06/2021,France,162,175,341,2021-06-23
20 to 29,23/06/2021,France,201,272,474,2021-06-23
30 to 39,23/06/2021,France,180,160,342,2021-06-23
40 to 49,23/06/2021,France,137,91,230,2021-06-23
50  to 59,23/06/2021,France,107,85,193,2021-06-23
60 to 69,23/06/2021,France,75,66,141,2021-06-23
70 to 79,23/06/2021,France,38,31,69,2021-06-23
80 to 89,23/06/2021,France,18,22,40,2021-06-23
90+,23/06/2021,France,13,7,20,2021-06-23
0 to 9,24/06/2021,France,71,61,133,2021-06-24
10 to 19,24/06/2021,France,170,193,367,2021-06-24
20 to 29,24/06/2021,France,222,185,410,2021-06-24
30 to 39,24/06/2021,France,191,161,355,2021-06-24
40 to 49,24/06/2021,France,134,134,268,2021-06-24
50  to 59,24/06/2021,France,106,106,213,2021-06-24
60 to 69,24/06/2021,France,70,55,125,2021-06-24
70 to 79,24/06/2021,France,25,31,57,2021-06-24
80 to 89,24/06/2021,France,28,15,43,2021-06-24
90+,24/06/2021,France,6,5,11,2021-06-24
0 to 9,25/06/2021,France,75,74,151,2021-06-25
10 to 19,25/06/2021,France,195,183,387,2021-06-25
20 to 29,25/06/2021,France,236,224,462,2021-06-25
30 to 39,25/06/2021,France,198,163,362,2021-06-25
40 to 49,25/06/2021,France,144,142,286,2021-06-25
50  to 59,25/06/2021,France,131,125,256,2021-06-25
60 to 69,25/06/2021,France,53,47,100,2021-06-25
70 to 79,25/06/2021,France,49,35,84,2021-06-25
80 to 89,25/06/2021,France,24,9,33,2021-06-25
90+,25/06/2021,France,12,3,15,2021-06-25
0 to 9,26/06/2021,France,41,31,73,2021-06-26
10 to 19,26/06/2021,France,117,112,229,2021-06-26
20 to 29,26/06/2021,France,161,146,309,2021-06-26
30 to 39,26/06/2021,France,119,106,226,2021-06-26
40 to 49,26/06/2021,France,96,77,173,2021-06-26
50  to 59,26/06/2021,France,76,67,143,2021-06-26
60 to 69,26/06/2021,France,43,30,73,2021-06-26
70 to 79,26/06/2021,France,16,30,46,2021-06-26
80 to 89,26/06/2021,France,19,6,25,2021-06-26
90+,26/06/2021,France,9,3,12,2021-06-26
0 to 9,27/06/2021,France,12,16,28,2021-06-27
10 to 19,27/06/2021,France,34,32,67,2021-06-27
20 to 29,27/06/2021,France,57,47,105,2021-06-27
30 to 39,27/06/2021,France,38,45,84,2021-06-27
40 to 49,27/06/2021,France,29,25,54,2021-06-27
50  to 59,27/06/2021,France,20,18,38,2021-06-27
60 to 69,27/06/2021,France,7,10,17,2021-06-27
70 to 79,27/06/2021,France,5,9,14,2021-06-27
80 to 89,27/06/2021,France,10,4,14,2021-06-27
90+,27/06/2021,France,6,1,7,2021-06-27
0 to 9,28/06/2021,France,54,90,146,2021-06-28
10 to 19,28/06/2021,France,232,215,453,2021-06-28
20 to 29,28/06/2021,France,376,360,739,2021-06-28
30 to 39,28/06/2021,France,249,250,500,2021-06-28
40 to 49,28/06/2021,France,216,204,423,2021-06-28
50  to 59,28/06/2021,France,149,141,293,2021-06-28
60 to 69,28/06/2021,France,70,98,168,2021-06-28
70 to 79,28/06/2021,France,42,33,75,2021-06-28
80 to 89,28/06/2021,France,21,22,43,2021-06-28
90+,28/06/2021,France,14,7,21,2021-06-28
0 to 9,29/06/2021,France,61,63,127,2021-06-29
10 to 19,29/06/2021,France,216,162,381,2021-06-29
20 to 29,29/06/2021,France,349,305,658,2021-06-29
30 to 39,29/06/2021,France,231,197,430,2021-06-29
40 to 49,29/06/2021,France,152,152,305,2021-06-29
50  to 59,29/06/2021,France,117,107,225,2021-06-29
60 to 69,29/06/2021,France,61,52,113,2021-06-29
70 to 79,29/06/2021,France,40,25,65,2021-06-29
80 to 89,29/06/2021,France,25,14,39,2021-06-29
90+,29/06/2021,France,11,5,16,2021-06-29
0 to 9,30/06/2021,France,59,64,124,2021-06-30
10 to 19,30/06/2021,France,271,215,489,2021-06-30
20 to 29,30/06/2021,France,377,427,811,2021-06-30
30 to 39,30/06/2021,France,241,250,492,2021-06-30
40 to 49,30/06/2021,France,173,157,331,2021-06-30
50  to 59,30/06/2021,France,145,132,280,2021-06-30
60 to 69,30/06/2021,France,58,66,125,2021-06-30
70 to 79,30/06/2021,France,40,28,69,2021-06-30
80 to 89,30/06/2021,France,28,19,47,2021-06-30
90+,30/06/2021,France,10,11,21,2021-06-30
0 to 9,01/07/2021,France,73,67,141,2021-07-01
10 to 19,01/07/2021,France,234,225,463,2021-07-01
20 to 29,01/07/2021,France,383,459,850,2021-07-01
30 to 39,01/07/2021,France,227,221,448,2021-07-01
40 to 49,01/07/2021,France,173,160,333,2021-07-01
50  to 59,01/07/2021,France,112,101,215,2021-07-01
60 to 69,01/07/2021,France,77,80,157,2021-07-01
70 to 79,01/07/2021,France,31,30,61,2021-07-01
80 to 89,01/07/2021,France,15,8,23,2021-07-01
90+,01/07/2021,France,12,3,15,2021-07-01
0 to 9,02/07/2021,France,61,62,131,2021-07-02
10 to 19,02/07/2021,France,340,292,637,2021-07-02
20 to 29,02/07/2021,France,446,457,910,2021-07-02
30 to 39,02/07/2021,France,276,250,528,2021-07-02
40 to 49,02/07/2021,France,195,169,366,2021-07-02
50  to 59,02/07/2021,France,160,117,277,2021-07-02
60 to 69,02/07/2021,France,82,88,170,2021-07-02
70 to 79,02/07/2021,France,37,37,75,2021-07-02
80 to 89,02/07/2021,France,16,24,40,2021-07-02
90+,02/07/2021,France,7,5,12,2021-07-02
0 to 9,03/07/2021,France,34,51,86,2021-07-03
10 to 19,03/07/2021,France,225,184,414,2021-07-03
20 to 29,03/07/2021,France,358,362,725,2021-07-03
30 to 39,03/07/2021,France,173,190,364,2021-07-03
40 to 49,03/07/2021,France,116,123,241,2021-07-03
50  to 59,03/07/2021,France,96,77,174,2021-07-03
60 to 69,03/07/2021,France,43,53,96,2021-07-03
70 to 79,03/07/2021,France,24,23,47,2021-07-03
80 to 89,03/07/2021,France,16,6,22,2021-07-03
90+,03/07/2021,France,8,4,12,2021-07-03
0 to 9,04/07/2021,France,12,25,37,2021-07-04
10 to 19,04/07/2021,France,72,70,142,2021-07-04
20 to 29,04/07/2021,France,124,96,223,2021-07-04
30 to 39,04/07/2021,France,64,66,130,2021-07-04
40 to 49,04/07/2021,France,53,36,89,2021-07-04
50  to 59,04/07/2021,France,28,31,59,2021-07-04
60 to 69,04/07/2021,France,20,16,36,2021-07-04
70 to 79,04/07/2021,France,15,5,20,2021-07-04
80 to 89,04/07/2021,France,6,5,11,2021-07-04
90+,04/07/2021,France,5,1,6,2021-07-04
0 to 9,05/07/2021,France,85,100,189,2021-07-05
10 to 19,05/07/2021,France,451,387,849,2021-07-05
20 to 29,05/07/2021,France,675,692,1379,2021-07-05
30 to 39,05/07/2021,France,359,409,773,2021-07-05
40 to 49,05/07/2021,France,319,236,556,2021-07-05
50  to 59,05/07/2021,France,244,216,462,2021-07-05
60 to 69,05/07/2021,France,105,113,222,2021-07-05
70 to 79,05/07/2021,France,55,52,107,2021-07-05
80 to 89,05/07/2021,France,22,22,44,2021-07-05
90+,05/07/2021,France,7,7,14,2021-07-05
0 to 9,06/07/2021,France,73,64,140,2021-07-06
10 to 19,06/07/2021,France,374,369,754,2021-07-06
20 to 29,06/07/2021,France,586,609,1200,2021-07-06
30 to 39,06/07/2021,France,341,364,710,2021-07-06
40 to 49,06/07/2021,France,240,236,477,2021-07-06
50  to 59,06/07/2021,France,155,149,304,2021-07-06
60 to 69,06/07/2021,France,91,64,156,2021-07-06
70 to 79,06/07/2021,France,32,38,70,2021-07-06
80 to 89,06/07/2021,France,32,15,47,2021-07-06
90+,06/07/2021,France,8,4,12,2021-07-06
0 to 9,07/07/2021,France,84,81,167,2021-07-07
10 to 19,07/07/2021,France,433,408,848,2021-07-07
20 to 29,07/07/2021,France,717,760,1481,2021-07-07
30 to 39,07/07/2021,France,368,425,795,2021-07-07
40 to 49,07/07/2021,France,291,229,521,2021-07-07
50  to 59,07/07/2021,France,196,171,369,2021-07-07
60 to 69,07/07/2021,France,97,86,185,2021-07-07
70 to 79,07/07/2021,France,47,44,93,2021-07-07
80 to 89,07/07/2021,France,22,18,40,2021-07-07
90+,07/07/2021,France,21,6,27,2021-07-07
0 to 9,08/07/2021,France,75,68,146,2021-07-08
10 to 19,08/07/2021,France,467,381,853,2021-07-08
20 to 29,08/07/2021,France,761,821,1587,2021-07-08
30 to 39,08/07/2021,France,374,445,824,2021-07-08
40 to 49,08/07/2021,France,267,234,502,2021-07-08
50  to 59,08/07/2021,France,185,145,331,2021-07-08
60 to 69,08/07/2021,France,78,74,152,2021-07-08
70 to 79,08/07/2021,France,47,44,92,2021-07-08
80 to 89,08/07/2021,France,18,17,35,2021-07-08
90+,08/07/2021,France,13,7,20,2021-07-08
0 to 9,09/07/2021,France,91,96,192,2021-07-09
10 to 19,09/07/2021,France,545,461,1012,2021-07-09
20 to 29,09/07/2021,France,751,847,1606,2021-07-09
30 to 39,09/07/2021,France,405,488,900,2021-07-09
40 to 49,09/07/2021,France,287,242,530,2021-07-09
50  to 59,09/07/2021,France,209,194,403,2021-07-09
60 to 69,09/07/2021,France,110,103,215,2021-07-09
70 to 79,09/07/2021,France,57,67,124,2021-07-09
80 to 89,09/07/2021,France,36,21,57,2021-07-09
90+,09/07/2021,France,11,5,16,2021-07-09
0 to 9,10/07/2021,France,83,64,150,2021-07-10
10 to 19,10/07/2021,France,379,368,753,2021-07-10
20 to 29,10/07/2021,France,513,556,1076,2021-07-10
30 to 39,10/07/2021,France,285,314,602,2021-07-10
40 to 49,10/07/2021,France,194,186,381,2021-07-10
50  to 59,10/07/2021,France,162,147,309,2021-07-10
60 to 69,10/07/2021,France,70,62,134,2021-07-10
70 to 79,10/07/2021,France,25,34,60,2021-07-10
80 to 89,10/07/2021,France,17,10,27,2021-07-10
90+,10/07/2021,France,13,4,17,2021-07-10
0 to 9,11/07/2021,France,17,23,40,2021-07-11
10 to 19,11/07/2021,France,137,94,234,2021-07-11
20 to 29,11/07/2021,France,204,189,401,2021-07-11
30 to 39,11/07/2021,France,101,120,224,2021-07-11
40 to 49,11/07/2021,France,73,73,147,2021-07-11
50  to 59,11/07/2021,France,45,48,93,2021-07-11
60 to 69,11/07/2021,France,18,28,46,2021-07-11
70 to 79,11/07/2021,France,13,17,30,2021-07-11
80 to 89,11/07/2021,France,12,8,20,2021-07-11
90+,11/07/2021,France,6,1,7,2021-07-11
0 to 9,12/07/2021,France,134,155,293,2021-07-12
10 to 19,12/07/2021,France,867,808,1689,2021-07-12
20 to 29,12/07/2021,France,1284,1362,2660,2021-07-12
30 to 39,12/07/2021,France,755,786,1551,2021-07-12
40 to 49,12/07/2021,France,522,509,1033,2021-07-12
50  to 59,12/07/2021,France,357,347,705,2021-07-12
60 to 69,12/07/2021,France,166,170,336,2021-07-12
70 to 79,12/07/2021,France,84,65,150,2021-07-12
80 to 89,12/07/2021,France,51,37,88,2021-07-12
90+,12/07/2021,France,17,9,26,2021-07-12
0 to 9,13/07/2021,France,160,150,320,2021-07-13
10 to 19,13/07/2021,France,931,837,1787,2021-07-13
20 to 29,13/07/2021,France,1455,1535,3006,2021-07-13
30 to 39,13/07/2021,France,710,788,1506,2021-07-13
40 to 49,13/07/2021,France,451,471,925,2021-07-13
50  to 59,13/07/2021,France,345,339,688,2021-07-13
60 to 69,13/07/2021,France,151,140,291,2021-07-13
70 to 79,13/07/2021,France,66,67,133,2021-07-13
80 to 89,13/07/2021,France,47,31,78,2021-07-13
90+,13/07/2021,France,23,6,29,2021-07-13
0 to 9,14/07/2021,France,45,33,80,2021-07-14
10 to 19,14/07/2021,France,233,184,425,2021-07-14
20 to 29,14/07/2021,France,518,564,1095,2021-07-14
30 to 39,14/07/2021,France,192,251,448,2021-07-14
40 to 49,14/07/2021,France,130,131,266,2021-07-14
50  to 59,14/07/2021,France,72,66,139,2021-07-14
60 to 69,14/07/2021,France,26,28,54,2021-07-14
70 to 79,14/07/2021,France,22,23,45,2021-07-14
80 to 89,14/07/2021,France,13,11,24,2021-07-14
90+,14/07/2021,France,3,5,8,2021-07-14
0 to 9,15/07/2021,France,172,179,356,2021-07-15
10 to 19,15/07/2021,France,1331,1180,2538,2021-07-15
20 to 29,15/07/2021,France,2223,2425,4670,2021-07-15
30 to 39,15/07/2021,France,1175,1289,2480,2021-07-15
40 to 49,15/07/2021,France,781,691,1480,2021-07-15
50  to 59,15/07/2021,France,536,498,1040,2021-07-15
60 to 69,15/07/2021,France,254,215,469,2021-07-15
70 to 79,15/07/2021,France,101,104,205,2021-07-15
80 to 89,15/07/2021,France,52,34,86,2021-07-15
90+,15/07/2021,France,20,10,30,2021-07-15
0 to 9,16/07/2021,France,178,227,414,2021-07-16
10 to 19,16/07/2021,France,1311,1215,2568,2021-07-16
20 to 29,16/07/2021,France,2067,2282,4389,2021-07-16
30 to 39,16/07/2021,France,1025,1126,2164,2021-07-16
40 to 49,16/07/2021,France,693,678,1379,2021-07-16
50  to 59,16/07/2021,France,496,431,931,2021-07-16
60 to 69,16/07/2021,France,266,181,452,2021-07-16
70 to 79,16/07/2021,France,98,101,199,2021-07-16
80 to 89,16/07/2021,France,59,47,106,2021-07-16
90+,16/07/2021,France,25,13,38,2021-07-16
0 to 9,17/07/2021,France,138,163,308,2021-07-17
10 to 19,17/07/2021,France,1040,913,1979,2021-07-17
20 to 29,17/07/2021,France,1732,1855,3628,2021-07-17
30 to 39,17/07/2021,France,777,870,1667,2021-07-17
40 to 49,17/07/2021,France,515,460,980,2021-07-17
50  to 59,17/07/2021,France,327,348,680,2021-07-17
60 to 69,17/07/2021,France,157,154,315,2021-07-17
70 to 79,17/07/2021,France,83,76,160,2021-07-17
80 to 89,17/07/2021,France,34,32,66,2021-07-17
90+,17/07/2021,France,8,9,17,2021-07-17
0 to 9,18/07/2021,France,43,61,107,2021-07-18
10 to 19,18/07/2021,France,299,283,594,2021-07-18
20 to 29,18/07/2021,France,602,628,1256,2021-07-18
30 to 39,18/07/2021,France,270,319,595,2021-07-18
40 to 49,18/07/2021,France,152,154,308,2021-07-18
50  to 59,18/07/2021,France,105,94,199,2021-07-18
60 to 69,18/07/2021,France,52,53,105,2021-07-18
70 to 79,18/07/2021,France,27,32,59,2021-07-18
80 to 89,18/07/2021,France,21,15,36,2021-07-18
90+,18/07/2021,France,7,4,11,2021-07-18
0 to 9,19/07/2021,France,378,365,751,2021-07-19
10 to 19,19/07/2021,France,2162,2048,4250,2021-07-19
20 to 29,19/07/2021,France,3803,4117,7986,2021-07-19
30 to 39,19/07/2021,France,1918,2062,3999,2021-07-19
40 to 49,19/07/2021,France,1355,1172,2537,2021-07-19
50  to 59,19/07/2021,France,954,785,1746,2021-07-19
60 to 69,19/07/2021,France,476,384,862,2021-07-19
70 to 79,19/07/2021,France,201,185,387,2021-07-19
80 to 89,19/07/2021,France,104,76,180,2021-07-19
90+,19/07/2021,France,56,14,70,2021-07-19
0 to 9,20/07/2021,France,332,320,661,2021-07-20
10 to 19,20/07/2021,France,1942,1789,3773,2021-07-20
20 to 29,20/07/2021,France,3606,3958,7628,2021-07-20
30 to 39,20/07/2021,France,1845,1854,3716,2021-07-20
40 to 49,20/07/2021,France,1116,994,2121,2021-07-20
50  to 59,20/07/2021,France,799,655,1461,2021-07-20
60 to 69,20/07/2021,France,395,297,696,2021-07-20
70 to 79,20/07/2021,France,184,174,358,2021-07-20
80 to 89,20/07/2021,France,105,64,169,2021-07-20
90+,20/07/2021,France,41,14,55,2021-07-20
0 to 9,21/07/2021,France,320,350,691,2021-07-21
10 to 19,21/07/2021,France,2114,1903,4074,2021-07-21
20 to 29,21/07/2021,France,4105,4436,8618,2021-07-21
30 to 39,21/07/2021,France,1941,2035,4011,2021-07-21
40 to 49,21/07/2021,France,1157,994,2163,2021-07-21
50  to 59,21/07/2021,France,826,671,1499,2021-07-21
60 to 69,21/07/2021,France,395,330,728,2021-07-21
70 to 79,21/07/2021,France,196,163,361,2021-07-21
80 to 89,21/07/2021,France,90,77,167,2021-07-21
90+,21/07/2021,France,39,23,62,2021-07-21
0 to 9,22/07/2021,France,335,358,705,2021-07-22
10 to 19,22/07/2021,France,1971,1813,3837,2021-07-22
20 to 29,22/07/2021,France,3437,3810,7327,2021-07-22
30 to 39,22/07/2021,France,1737,1853,3617,2021-07-22
40 to 49,22/07/2021,France,1189,1021,2223,2021-07-22
50  to 59,22/07/2021,France,868,660,1532,2021-07-22
60 to 69,22/07/2021,France,418,312,732,2021-07-22
70 to 79,22/07/2021,France,152,163,317,2021-07-22
80 to 89,22/07/2021,France,120,68,188,2021-07-22
90+,22/07/2021,France,60,16,76,2021-07-22
0 to 9,23/07/2021,France,464,420,908,2021-07-23
10 to 19,23/07/2021,France,2299,2063,4411,2021-07-23
20 to 29,23/07/2021,France,3627,3919,7618,2021-07-23
30 to 39,23/07/2021,France,1797,2111,3930,2021-07-23
40 to 49,23/07/2021,France,1249,1143,2401,2021-07-23
50  to 59,23/07/2021,France,948,752,1706,2021-07-23
60 to 69,23/07/2021,France,428,367,796,2021-07-23
70 to 79,23/07/2021,France,206,176,385,2021-07-23
80 to 89,23/07/2021,France,101,80,181,2021-07-23
90+,23/07/2021,France,61,29,90,2021-07-23
0 to 9,24/07/2021,France,303,318,627,2021-07-24
10 to 19,24/07/2021,France,1633,1471,3154,2021-07-24
20 to 29,24/07/2021,France,2555,2677,5325,2021-07-24
30 to 39,24/07/2021,France,1333,1425,2796,2021-07-24
40 to 49,24/07/2021,France,902,857,1775,2021-07-24
50  to 59,24/07/2021,France,646,520,1173,2021-07-24
60 to 69,24/07/2021,France,290,254,546,2021-07-24
70 to 79,24/07/2021,France,144,136,282,2021-07-24
80 to 89,24/07/2021,France,84,54,138,2021-07-24
90+,24/07/2021,France,35,12,47,2021-07-24
0 to 9,25/07/2021,France,95,106,202,2021-07-25
10 to 19,25/07/2021,France,401,370,809,2021-07-25
20 to 29,25/07/2021,France,757,792,1622,2021-07-25
30 to 39,25/07/2021,France,406,432,861,2021-07-25
40 to 49,25/07/2021,France,213,249,470,2021-07-25
50  to 59,25/07/2021,France,161,145,310,2021-07-25
60 to 69,25/07/2021,France,98,97,195,2021-07-25
70 to 79,25/07/2021,France,44,47,92,2021-07-25
80 to 89,25/07/2021,France,30,14,44,2021-07-25
90+,25/07/2021,France,13,7,20,2021-07-25
0 to 9,26/07/2021,France,658,663,1348,2021-07-26
10 to 19,26/07/2021,France,3095,2852,6006,2021-07-26
20 to 29,26/07/2021,France,4939,4898,9915,2021-07-26
30 to 39,26/07/2021,France,3016,3008,6058,2021-07-26
40 to 49,26/07/2021,France,2269,1873,4158,2021-07-26
50  to 59,26/07/2021,France,1668,1303,2986,2021-07-26
60 to 69,26/07/2021,France,785,641,1429,2021-07-26
70 to 79,26/07/2021,France,360,332,693,2021-07-26
80 to 89,26/07/2021,France,211,119,331,2021-07-26
90+,26/07/2021,France,94,42,136,2021-07-26
0 to 9,27/07/2021,France,580,561,1155,2021-07-27
10 to 19,27/07/2021,France,2390,2207,4661,2021-07-27
20 to 29,27/07/2021,France,3564,3894,7534,2021-07-27
30 to 39,27/07/2021,France,2299,2352,4682,2021-07-27
40 to 49,27/07/2021,France,1631,1465,3111,2021-07-27
50  to 59,27/07/2021,France,1185,1069,2259,2021-07-27
60 to 69,27/07/2021,France,628,517,1147,2021-07-27
70 to 79,27/07/2021,France,326,253,583,2021-07-27
80 to 89,27/07/2021,France,130,107,237,2021-07-27
90+,27/07/2021,France,75,35,110,2021-07-27
0 to 9,28/07/2021,France,493,547,1054,2021-07-28
10 to 19,28/07/2021,France,2252,2098,4405,2021-07-28
20 to 29,28/07/2021,France,3495,3697,7249,2021-07-28
30 to 39,28/07/2021,France,2334,2393,4760,2021-07-28
40 to 49,28/07/2021,France,1700,1439,3161,2021-07-28
50  to 59,28/07/2021,France,1153,955,2121,2021-07-28
60 to 69,28/07/2021,France,649,466,1120,2021-07-28
70 to 79,28/07/2021,France,307,275,583,2021-07-28
80 to 89,28/07/2021,France,177,121,298,2021-07-28
90+,28/07/2021,France,79,32,111,2021-07-28
0 to 9,29/07/2021,France,556,536,1113,2021-07-29
10 to 19,29/07/2021,France,2156,2087,4303,2021-07-29
20 to 29,29/07/2021,France,3325,3393,6812,2021-07-29
30 to 39,29/07/2021,France,2241,2213,4496,2021-07-29
40 to 49,29/07/2021,France,1559,1409,2993,2021-07-29
50  to 59,29/07/2021,France,1193,996,2199,2021-07-29
60 to 69,29/07/2021,France,594,459,1057,2021-07-29
70 to 79,29/07/2021,France,289,262,555,2021-07-29
80 to 89,29/07/2021,France,149,97,246,2021-07-29
90+,29/07/2021,France,95,52,147,2021-07-29
0 to 9,30/07/2021,France,624,604,1258,2021-07-30
10 to 19,30/07/2021,France,2246,2181,4496,2021-07-30
20 to 29,30/07/2021,France,3122,3124,6348,2021-07-30
30 to 39,30/07/2021,France,2216,2183,4445,2021-07-30
40 to 49,30/07/2021,France,1681,1417,3119,2021-07-30
50  to 59,30/07/2021,France,1175,1016,2201,2021-07-30
60 to 69,30/07/2021,France,608,553,1165,2021-07-30
70 to 79,30/07/2021,France,354,250,609,2021-07-30
80 to 89,30/07/2021,France,174,107,281,2021-07-30
90+,30/07/2021,France,77,41,118,2021-07-30
0 to 9,31/07/2021,France,383,387,785,2021-07-31
10 to 19,31/07/2021,France,1555,1415,3027,2021-07-31
20 to 29,31/07/2021,France,2056,1948,4092,2021-07-31
30 to 39,31/07/2021,France,1510,1460,3008,2021-07-31
