Date,Country,Cases,Pop
2021-08-01,Iceland,158,364134
2021-08-01,Ireland,1427,4964440
2021-08-01,Italy,6509,59641488
2021-08-01,Latvia,64,1907675
2021-08-01,Liechtenstein,0,38747
2021-08-01,Lithuania,198,2794090
2021-08-01,Luxembourg,0,626108
2021-08-01,Malta,80,514564
2021-08-01,Netherlands,2944,17407585
2021-08-01,Norway,0,5367580
2021-08-01,Poland,153,37958138
2021-08-01,Portugal,2590,10295909
2021-08-01,Romania,156,19328838
2021-08-01,Slovakia,21,5457873
2021-08-01,Slovenia,58,2095861
2021-08-01,Spain,0,47332614
2021-08-01,Sweden,1,10327589
2021-05-02,Austria,1655,8901064
2021-05-02,Belgium,1156,11522440
2021-05-02,Bulgaria,466,6951482
2021-05-02,Croatia,2046,4058165
2021-05-02,Cyprus,463,888005
2021-05-02,Czechia,1171,10693939
2021-05-02,Denmark,617,5822763
2021-05-02,Estonia,235,1328976
2021-05-02,Finland,288,5525292
2021-05-02,France,3995,67320216
2021-05-02,Germany,16290,83166711
2021-05-02,Greece,1389,10718565
2021-05-02,Hungary,1593,9769526
2021-05-02,Iceland,0,364134
2021-05-02,Ireland,567,4964440
2021-05-02,Italy,12964,59641488
2021-05-02,Latvia,812,1907675
2021-05-02,Liechtenstein,4,38747
2021-05-02,Lithuania,1386,2794090
2021-05-02,Luxembourg,192,626108
2021-05-02,Malta,12,514564
2021-05-02,Netherlands,5783,17407585
2021-05-02,Norway,0,5367580
2021-05-02,Poland,6475,37958138
2021-05-02,Portugal,454,10295909
2021-05-02,Romania,1307,19328838
2021-05-02,Slovakia,627,5457873
2021-05-02,Slovenia,1018,2095861
2021-05-02,Spain,0,47332614
2021-05-02,Sweden,1718,10327589
2021-06-02,Austria,364,8901064
2021-06-02,Belgium,1502,11522440
2021-06-02,Bulgaria,236,6951482
2021-06-02,Croatia,216,4058165
2021-06-02,Cyprus,58,888005
2021-06-02,Czechia,479,10693939
2021-06-02,Denmark,908,5822763
2021-06-02,Estonia,129,1328976
2021-06-02,Finland,154,5525292
2021-06-02,France,9848,67320216
2021-06-02,Germany,4917,83166711
2021-06-02,Greece,1857,10718565
2021-06-02,Hungary,275,9769526
2021-06-02,Iceland,4,364134
2021-06-02,Ireland,333,4964440
2021-06-02,Italy,2483,59641488
2021-06-02,Latvia,319,1907675
2021-06-02,Liechtenstein,4,38747
2021-06-02,Lithuania,422,2794090
2021-06-02,Luxembourg,51,626108
2021-06-02,Malta,10,514564
2021-06-02,Netherlands,2480,17407585
2021-06-02,Norway,291,5367580
2021-06-02,Poland,585,37958138
2021-06-02,Portugal,445,10295909
2021-06-02,Romania,241,19328838
2021-06-02,Slovakia,258,5457873
2021-06-02,Slovenia,323,2095861
2021-06-02,Spain,4984,47332614
2021-06-02,Sweden,1365,10327589
2021-07-02,Austria,55,8901064
2021-07-02,Belgium,722,11522440
2021-07-02,Bulgaria,73,6951482
2021-07-02,Croatia,103,4058165
2021-07-02,Cyprus,473,888005
2021-07-02,Czechia,166,10693939
2021-07-02,Denmark,475,5822763
2021-07-02,Estonia,38,1328976
2021-07-02,Finland,222,5525292
2021-07-02,France,2664,67320216
2021-07-02,Germany,649,83166711
2021-07-02,Greece,729,10718565
2021-07-02,Hungary,37,9769526
2021-07-02,Iceland,5,364134
2021-07-02,Ireland,448,4964440
2021-07-02,Italy,879,59641488
2021-07-02,Latvia,71,1907675
2021-07-02,Liechtenstein,1,38747
2021-07-02,Lithuania,17,2794090
2021-07-02,Luxembourg,108,626108
2021-07-02,Malta,6,514564
2021-07-02,Netherlands,823,17407585
2021-07-02,Norway,279,5367580
2021-07-02,Poland,98,37958138
2021-07-02,Portugal,2449,10295909
2021-07-02,Romania,31,19328838
2021-07-02,Slovakia,34,5457873
2021-07-02,Slovenia,25,2095861
2021-07-02,Spain,12563,47332614
2021-07-02,Sweden,327,10327589
2021-08-02,Austria,444,8901064
2021-08-02,Belgium,2234,11522440
2021-08-02,Bulgaria,94,6951482
2021-08-02,Croatia,143,4058165
2021-08-02,Cyprus,277,888005
2021-08-02,Czechia,77,10693939
2021-08-02,Denmark,893,5822763
2021-08-02,Estonia,86,1328976
2021-08-02,Finland,519,5525292
2021-08-02,France,19600,67320216
2021-08-02,Germany,847,83166711
